School District,total_population,voters,non_voters,voter_rate
Seattle Public Schools,7260,3136,4124,0.4319559228650138
Sedro-Woolley School District,6,3,3,0.5
Selah School District,10,3,7,0.3
Sequim School District,19,5,14,0.2631578947368421
Shaw Island School District,1,1,0,1.0
Shelton School District,11,4,7,0.36363636363636365
Shoreline School District,656,327,329,0.49847560975609756
Skamania School District,1,1,0,1.0
Skykomish School District,2,1,1,0.5
Snohomish School District,216,130,86,0.6018518518518519
Snoqualmie Valley School District,270,199,71,0.737037037037037
Soap Lake School District,1,1,0,1.0
South Bend School District,1,0,1,0.0
South Kitsap School District,41,26,15,0.6341463414634146
South Whidbey School District,6,5,1,0.8333333333333334
Spokane Public Schools,561,223,338,0.39750445632798576
Sprague School District,1,1,0,1.0
St. Martin Parish School District,1,1,0,1.0
Stanwood-Camano School District,42,26,16,0.6190476190476191
Steilacoom Historical School District,40,22,18,0.55
Stevenson-Carson School District,3,2,1,0.6666666666666666
Sultan School District,25,20,5,0.8
Sumner School District,84,44,40,0.5238095238095238
Sunnyside School District,13,2,11,0.15384615384615385
Tacoma Public Schools,624,270,354,0.4326923076923077
Tahoma School District,180,104,76,0.5777777777777777
Tenino School District,7,3,4,0.42857142857142855
Thorp School District,4,4,0,1.0
Tonasket School District,1,1,0,1.0
Toppenish School District,5,1,4,0.2
Tukwila School District,911,214,697,0.2349066959385291
Tumwater School District,66,49,17,0.7424242424242424
Union Gap School District,2,1,1,0.5
University Place School District,223,85,138,0.3811659192825112
Vancouver Public Schools,395,184,211,0.46582278481012657
Vashon Island School District,16,10,6,0.625
Wahkiakum School District,1,1,0,1.0
Walla Walla Public Schools,26,10,16,0.38461538461538464
Wapato School District,5,1,4,0.2
Washougal School District,31,18,13,0.5806451612903226
Wenatchee School District,36,19,17,0.5277777777777778
West Valley School District (Spokane),39,13,26,0.3333333333333333
West Valley School District (Yakima),97,35,62,0.36082474226804123
White River School District,17,12,5,0.7058823529411765
White Salmon Valley School District,2,0,2,0.0
Winlock School District,2,0,2,0.0
Woodland School District,7,3,4,0.42857142857142855
Yakima School District,55,24,31,0.43636363636363634
Yelm Community Schools,21,12,9,0.5714285714285714
Zillah School District,1,0,1,0.0
