Election ,JURISDICTION,City/District #,Position_Type,Number_of_Muslims,Impact,Vote_Difference,Name_1,Votes_1,Name_2,Votes_2
General_2019,City Council,LAKE FOREST PARK,Pos. 6,79,< 25%,430,Tom French,2802,Tracy Furutani,2372
General_2019,City Council,LAKE STEVENS,Pos. 3,213,> 50%,353,Shawn Frederick,3896,Steve Ewing,3543
General_2019,City Council,LAKE STEVENS,Pos. 5,213,> 50%,281,Anji Jorstad,3877,Rauchel McDaniel,3596
General_2019,City Council,LAKE STEVENS,Pos. 4,213,25-50%,472,Mary Dickinson,4023,Todd Welch,3551
General_2019,City Council,LAKEWOOD,Pos. 4,95,< 25%,8434,Don Anderson,8688,Write-In,254
General_2019,City Council,LAKEWOOD,Pos. 6,95,< 25%,2881,Linda Farmer,6695,Ken Witkoe,3814
General_2019,City Council,LAKEWOOD,Pos. 7,95,< 25%,5992,Paul Bocchi,8102,Siabhon Ayuso,2110
General_2019,City Council,LANGLEY,Pos. 3,4,< 25%,392,Thomas E. Gill,401,Write-In,9
General_2019,City Council,LANGLEY,Pos. 4,4,< 25%,363,Craig Cyr,509,R. Bruce Allen,146
General_2019,City Council,LATAH,Pos. 2,0,< 25%,36,Larry La Bolle,52,Adam Papini,16
General_2019,City Council,LATAH,Pos. 3,0,< 25%,22,Carole Meissner,43,Brianne Howe,21
General_2019,City Council,LATAH,Pos. 4,0,< 25%,52,Curtis Loucks,54,Write-In,2
General_2019,City Council,LATAH,Pos. 5,0,< 25%,50,Michael D. VanHeel,52,Write-In,2
General_2019,City Council,LEAVENWORTH,Pos. 1,1,< 25%,216,Jason Lundgren,560,Lynn O Watson,344
General_2019,City Council,LEAVENWORTH,Pos. 2,1,< 25%,472,Craig Hess,524,Write-In,52
General_2019,City Council,LEAVENWORTH,Pos. 3,1,< 25%,640,Anne Hessburg,654,Write-In,14
General_2019,City Council,LEAVENWORTH,Pos. 7,1,< 25%,84,Mia Bretz,480,Zeke Reister,396
General_2019,City Council,LIBERTY LAKE,Pos. 1,15,< 25%,288,Phil Folyer,1782,Dg Garcia,1494
General_2019,City Council,LIBERTY LAKE,Pos. 3,15,< 25%,219,Dan Dunne,1706,Holly Woodruff,1487
General_2019,City Council,LIBERTY LAKE,Pos. 5,15,< 25%,629,Annie Kurtz,1886,Robert (Bob) Moore,1257
General_2019,City Council,LIBERTY LAKE,Pos. 7,15,< 25%,723,Cristella (Cris) Kaminskas,1991,Tom Stanley,1268
General_2019,City Council,LIND,Pos. 4,0,< 25%,122,Myra Horton,129,Write-In,7
General_2019,City Council,LIND,Pos. 5,0,< 25%,98,James Dworshak,109,Write-In,11
General_2019,City Council,LONG BEACH,Pos. 1,1,< 25%,195,Susan (Sue) Svendsen,334,Donald E. McGuire Jr.,139
General_2019,City Council,LONG BEACH,Pos. 2,1,< 25%,324,Tina McGuire,337,Write-In,13
General_2019,City Council,LONG BEACH,Pos. 3,1,< 25%,299,Del R Murry,313,Write-In,14
General_2019,City Council,LONGVIEW,Pos. 2,31,< 25%,586,Hillary Strobel,4855,Scott Vydra,4269
General_2019,City Council,LONGVIEW,Pos. 3,31,< 25%,462,Christine Schott,4904,Spencer Boudreau,4442
General_2019,City Council,LONGVIEW,Pos. 4,31,< 25%,212,Ruth Kendall,4730,Don Jensen,4518
General_2019,City Council,LONGVIEW,Pos. 1,31,25-50%,108,Mike Wallin,4749,John M. Melink,4641
General_2019,City Council,LYMAN,Pos. 3,0,< 25%,65,Mike Swanson,65,Write-In,0
General_2019,City Council,LYMAN,Pos. 4,0,< 25%,66,Mike Couch,66,Write-In,0
General_2019,City Council,LYMAN,Pos. 5,0,< 25%,61,Ron Hodgin,61,Write-In,0
General_2019,City Council,LYNDEN,Pos. 1,6,< 25%,3353,Gary L. Bode,4567,Nikki Turner,1214
General_2019,City Council,LYNDEN,Pos. 2,6,< 25%,73,Ronald DeValois,2874,Darren Johnson,2801
General_2019,City Council,LYNDEN,Pos. 3,6,< 25%,1428,Gerald (Jerry) Kuiken,3304,Jesse DeMooy,1876
General_2019,City Council,LYNDEN,Pos. 4,6,< 25%,3467,Brent Lenssen,4559,Jen Marion,1092
General_2019,City Council,LYNNWOOD,Pos. 4,1614,> 50%,1554,Jim Smith,4476,Van AuBuchon,2922
General_2019,City Council,LYNNWOOD,Pos. 5,1614,> 50%,1221,Julieta Altamirano-Crosby,4326,David Schirle,3105
General_2019,City Council,LYNNWOOD,Pos. 6,1614,> 50%,1143,George Hurst,4214,Nick Coelho,3071
General_2019,City Council,LYNNWOOD,Pos. 7,1614,> 50%,1655,Shannon Sessions,4534,Shirley Sutton,2879
