Election ,JURISDICTION,City/District #,Position_Type,Number_of_Muslims,Impact,Vote_Difference,Name_1,Votes_1,Name_2,Votes_2
General_2023,City Council,ABERDEEN,Pos. 1,11,< 25%,255,Melvin Taylor,263,Write-In,8
General_2023,City Council,ABERDEEN,Pos. 12,11,< 25%,50,Sydney Newbill,235,Bessie Jones,185
General_2023,City Council,ABERDEEN,Pos. 3,11,< 25%,218,David Gakin,228,Write-In,10
General_2023,City Council,ABERDEEN,Pos. 7,11,< 25%,275,Stan Sidor,530,Glenn Meissner,255
General_2023,City Council,ABERDEEN,Pos. 8,11,< 25%,486,Deb Hodgkin,505,Write-In,19
General_2023,City Council,ABERDEEN,Pos. 6,11,> 50%,9,Scott Prato,239,Norman Klein,230
General_2023,City Council,ABERDEEN,Pos. 9,11,25-50%,32,Riley Carter,119,Joshua Francy,87
General_2023,City Council,AIRWAY HEIGHTS,Pos. 1,15,< 25%,658,Hank Bynaker,678,Write-In,20
General_2023,City Council,AIRWAY HEIGHTS,Pos. 2,15,< 25%,629,Kevin J Richey,654,Write-In,25
General_2023,City Council,AIRWAY HEIGHTS,Pos. 3,15,< 25%,628,Veronica Messing,651,Write-In,23
General_2023,City Council,AIRWAY HEIGHTS,Pos. 5,15,< 25%,627,Larry Bowman,651,Write-In,24
General_2023,City Council,AIRWAY HEIGHTS,Pos. 7,15,< 25%,629,Jennifer Morton,652,Write-In,23
General_2023,City Council,ALBION,Pos. 1,0,< 25%,99,Megan Welling,107,Write-In,8
General_2023,City Council,ALBION,Pos. 2,0,< 25%,101,Corina Andersen,109,Write-In,8
General_2023,City Council,ALBION,Pos. 5,0,< 25%,87,Katherine Opie,103,Write-In,16
General_2023,City Council,ALGONA,Pos. 1,10,< 25%,329,William Thomas,339,Write-In,10
General_2023,City Council,ALGONA,Pos. 3,10,< 25%,324,Timothy J. Fairley,334,Write-In,10
General_2023,City Council,ALGONA,Pos. 5,10,< 25%,337,David M. White,347,Write-In,10
General_2023,City Council,ALMIRA,Pos. 1,0,< 25%,67,James Braun,71,Write-In,4
General_2023,City Council,ALMIRA,Pos. 2,0,< 25%,52,Einar Larson,61,Write-In,9
General_2023,City Council,ANACORTES,Ward 1,23,< 25%,1392,Ryan Walters,1443,Write-In,51
General_2023,City Council,ANACORTES,Ward 2,23,< 25%,1452,Christine Cleland-McGrath,1484,Write-In,32
General_2023,City Council,ANACORTES,Ward 3,23,< 25%,589,TJ Fantini,1802,Linda Martin,1213
General_2023,City Council,ARLINGTON,Pos. 4,52,< 25%,2146,Michele Blythe,3298,Kenneth Dilbeck,1152
General_2023,City Council,ARLINGTON,Pos. 5,52,< 25%,3226,Rob Toyer,3353,Write-In,127
General_2023,City Council,ARLINGTON,Pos. 6,52,< 25%,1638,Yvonne M. Gallardo-Van Ornam,3036,Gregory Miller,1398
General_2023,City Council,ASOTIN,Pos. 1,0,< 25%,279,David Weakland,280,Write-In,1
General_2023,City Council,ASOTIN,Pos. 2,0,< 25%,281,Lori R. Loseth,285,Write-In,4
General_2023,City Council,ASOTIN,Pos. 4,0,< 25%,271,Craig J. Stein,273,Write-In,2
General_2023,City Council,AUBURN,Pos. 1,999,> 50%,309,Cheryl Rakes,5349,Lisa Stirgus,5040
General_2023,City Council,AUBURN,Pos. 3,999,> 50%,1781,Tracy Taylor Turner,6161,James Jeyaraj,4380
General_2023,City Council,AUBURN,Pos. 5,999,> 50%,1029,Clinton Taylor,5752,Robyn Mulenga,4723
General_2023,City Council,AUBURN,Pos. 7,999,> 50%,75,Hanan Amer,5275,Brian Lott,5200
General_2023,City Council,BAINBRIDGE ISLAND,Pos. 1,33,< 25%,3432,Kirsten Hytopoulos,6796,Dick Haugan,3364
General_2023,City Council,BAINBRIDGE ISLAND,Pos. 2,33,< 25%,6870,Brenda Fantroy-Johnson,7002,Write-In,132
General_2023,City Council,BAINBRIDGE ISLAND,Pos. 4,33,< 25%,6738,Leslie Schneider,6850,Write-In,112
General_2023,City Council,BAINBRIDGE ISLAND,Pos. 6,33,< 25%,6838,Ashley Mathews,6946,Write-In,108
General_2023,City Council,BATTLE GROUND,Pos. 2,22,< 25%,657,Shane A. Bowman,2200,Josh VanGelder,1543
General_2023,City Council,BATTLE GROUND,Pos. 3,22,< 25%,759,Victoria Ferrer,2268,Daniel Dingman,1509
General_2023,City Council,BATTLE GROUND,Pos. 7,22,< 25%,550,Eric Joe Overholser,2152,Josie Calderon,1602
General_2023,City Council,BEAUX ARTS,Pos. 1,3,< 25%,91,Stacy Saal,91,Write-In,0
General_2023,City Council,BEAUX ARTS,Pos. 2,3,< 25%,91,James McCarthy,91,Write-In,0
General_2023,City Council,BEAUX ARTS,Pos. 4,3,< 25%,90,Paula Dix,92,Write-In,2
General_2023,City Council,BELLEVUE,Pos. 3,1827,< 25%,17184,Mo Malakoutian,21347,Alex Tsimerman,4163
General_2023,City Council,BELLEVUE,Pos. 5,1827,< 25%,8727,Janice Zahn,17613,Betsi Hummer,8886
General_2023,City Council,BELLEVUE,Pos. 7,1827,< 25%,16451,Dave Hamilton,20921,Bil Hirt,4470
General_2023,City Council,BELLEVUE,Pos. 1,1827,> 50%,2677,John Stokes,14388,Paul Clark,11711
General_2023,City Council,BELLINGHAM,At-Large,292,< 25%,2350,Jace Cotton,16250,Russ Whidbee,13900
General_2023,City Council,BELLINGHAM,Ward 1,292,< 25%,5193,Hannah Stone,17449,Eamonn Collins,12256
General_2023,City Council,BELLINGHAM,Ward 3,292,< 25%,4180,Daniel Hammill,16775,Liz Darrow,12595
General_2023,City Council,BELLINGHAM,Ward 5,292,< 25%,21503,Lisa A. Anderson,21858,Write-In,355
General_2023,City Council,BENTON CITY,Pos. 3,3,< 25%,489,David Sandretto,505,Write-In,16
General_2023,City Council,BENTON CITY,Pos. 4,3,< 25%,489,Sarah Funk,502,Write-In,13
General_2023,City Council,BENTON CITY,Pos. 5,3,< 25%,477,Dyana M. G. Alcazar,493,Write-In,16
General_2023,City Council,BINGEN,Pos. 1,0,< 25%,72,Ryan O'Connor,74,Write-In,2
General_2023,City Council,BLACK DIAMOND,Pos. 1,26,< 25%,1101,Tamie L. Boxx-Deady,1141,Write-In,40
General_2023,City Council,BLACK DIAMOND,Pos. 2,26,< 25%,1048,Brad Douglass,1097,Write-In,49
General_2023,City Council,BLACK DIAMOND,Pos. 3,26,< 25%,1105,Therron Smith,1150,Write-In,45
General_2023,City Council,BLACK DIAMOND,Pos. 5,26,< 25%,1017,Kristiana de Leon,1081,Write-In,64
General_2023,City Council,BLACK DIAMOND,Pos. 6,26,< 25%,373,Nathan Jones,971,Pravat Sripranaratanakul,598
General_2023,City Council,BLACK DIAMOND,Pos. 7,26,< 25%,1072,Debbie Page,1109,Write-In,37
General_2023,City Council,BLAINE,Ward 1 Pos. 1,59,< 25%,1323,Richard May,1393,Write-In,70
General_2023,City Council,BLAINE,Ward 2 Pos. 3,59,< 25%,898,Sonia Hurt,1390,Steven Tojek,492
General_2023,City Council,BLAINE,Ward 3 Pos. 5,59,< 25%,1434,Mary Lou Steward,1451,Write-In,17
General_2023,City Council,BONNEY LAKE,Pos. 5,78,< 25%,1615,Angela Baldwin,2813,Jessica Bennion,1198
General_2023,City Council,BONNEY LAKE,Pos. 7,78,< 25%,1295,Dan Roach,2672,Teresa Caron,1377
General_2023,City Council,BONNEY LAKE,Pos. 2,78,25-50%,168,Kerri Hubler,2106,Brittany Rock,1938
General_2023,City Council,BONNEY LAKE,Pos. 4,78,25-50%,258,J Kelly McClimans,2156,Tom Watson,1898
General_2023,City Council,BOTHELL,Pos. 2,1263,> 50%,2509,Mason Thompson,6548,James McNeal,4039
General_2023,City Council,BOTHELL,Pos. 4,1263,> 50%,2042,Carston Curd,6353,Mark Swanson,4311
General_2023,City Council,BOTHELL,Pos. 6,1263,25-50%,2877,Amanda Dodd,6782,Thomas E. Agnew,3905
General_2023,City Council,BREMERTON,District 6,71,< 25%,312,Anna Mockler,810,Mike Simpson,498
General_2023,City Council,BREMERTON,District 4,71,> 50%,53,Jane Rebelowski,368,Marwan Cameron,315
General_2023,City Council,BREMERTON,District 2,71,25-50%,224,Denise Frey,513,Adrian Wright,289
General_2023,City Council,BREWSTER,Pos. 4,1,< 25%,119,Glenn Farrington,122,Write-In,3
General_2023,City Council,BREWSTER,Pos. 5,1,< 25%,13,Don Childers,79,Emmanuel Hurtado,66
General_2023,City Council,BRIDGEPORT,Pos. 4,0,< 25%,34,Paul Anson,102,Janet Conklin,68
General_2023,City Council,BRIDGEPORT,Pos. 5,0,< 25%,132,"Esiquio ""Zeke"" Martinez",140,Write-In,8
General_2023,City Council,BRIER,At-Large,44,< 25%,1521,Daniel Allen,1833,Kristin Bigoff,312
General_2023,City Council,BRIER,Pos. 4,44,< 25%,1254,Valerie Rosman,1752,Derek Hamilton,498
General_2023,City Council,BRIER,Pos. 5,44,< 25%,1020,David Marley,1632,Kevin Davis,612
General_2023,City Council,BRIER,Pos. 6,44,< 25%,1769,Hisham (Sham) Othman,1832,Write-In,63
General_2023,City Council,BUCKLEY,Pos. 4,6,< 25%,885,Amanda Burbank,898,Write-In,13
General_2023,City Council,BUCKLEY,Pos. 5,6,< 25%,69,Denice Bergerson,552,Lyn Rose,483
General_2023,City Council,BUCKLEY,Pos. 6,6,< 25%,58,Connie Bender,542,Maureen Sundstrom,484
General_2023,City Council,BUCKLEY,Pos. 7,6,< 25%,876,Brandon Green,890,Write-In,14
General_2023,City Council,BUCODA,Pos. 1,0,< 25%,94,Callie Carpenter,95,Write-In,1
General_2023,City Council,BUCODA,Pos. 2,0,< 25%,91,Steven Lyle,93,Write-In,2
General_2023,City Council,BUCODA,Pos. 4,0,< 25%,96,Michelle Layton,96,Write-In,0
General_2023,City Council,BUCODA,Pos. 5,0,< 25%,96,Kiersten Presley,97,Write-In,1
General_2023,City Council,BURIEN,Pos. 2,530,25-50%,1651,Linda Akey,6077,Cydney Moore,4426
General_2023,City Council,BURIEN,Pos. 4,530,25-50%,1874,Kevin J. Schilling,6249,Patricia Hudson,4375
General_2023,City Council,BURIEN,Pos. 6,530,25-50%,1230,Alex Andrade,5919,Krystal Marx,4689
General_2023,City Council,BURLINGTON,Ward 1,7,< 25%,984,Scott K. Green,1222,Anthony Perales,238
General_2023,City Council,BURLINGTON,Ward 2,7,< 25%,1038,Keith Chaplin,1054,Write-In,16
General_2023,City Council,BURLINGTON,Ward 3,7,< 25%,260,Elizabeth Turman-Bryant,870,Joseph A. Lewis,610
General_2023,City Council,CAMAS,At-Large,171,< 25%,1109,John Svilarich,4144,Stephen R. Dabasinskas,3035
General_2023,City Council,CAMAS,Ward 1 Pos. 1,171,< 25%,756,John Nohr,3973,Gary Perman,3217
General_2023,City Council,CAMAS,Ward 2 Pos. 1,171,< 25%,1712,Bonnie Carter,4457,Ry Luikens,2745
General_2023,City Council,CAMAS,Ward 3 Pos. 1,171,< 25%,4405,Jennifer Senescu,4704,Write-In,299
General_2023,City Council,CARBONADO,Pos. 3,0,< 25%,165,Buck R. McBride,168,Write-In,3
General_2023,City Council,CARBONADO,Pos. 4,0,< 25%,8,Joseph E. Mills,101,James Van Eddy,93
General_2023,City Council,CARBONADO,Pos. 5,0,< 25%,17,Cedar Argo,106,Terry Carter,89
General_2023,City Council,CARNATION,Pos. 1,32,< 25%,465,Adair Hawkins,502,Write-In,37
General_2023,City Council,CARNATION,Pos. 3,32,> 50%,16,Brodie Nelson,370,Tim Harris,354
General_2023,City Council,CARNATION,Pos. 4,32,25-50%,117,Ryan Burrell,418,Max Voelker,301
General_2023,City Council,CARNATION,Pos. 5,32,25-50%,90,Jessica Merizan,408,Dustin Green,318
General_2023,City Council,CASHMERE,Pos. 4,5,< 25%,488,Jayne Stephenson,503,Write-In,15
General_2023,City Council,CASHMERE,Pos. 5,5,< 25%,115,Jeff Johnson,398,Derrick Pratt,283
General_2023,City Council,CASTLE ROCK,Pos. 3,5,< 25%,121,John Wesley Whalen,279,John Earl Queen,158
General_2023,City Council,CASTLE ROCK,Pos. 4,5,< 25%,351,Paul Simonsen,359,Write-In,8
General_2023,City Council,CASTLE ROCK,Pos. 5,5,< 25%,356,Ellen Rose,365,Write-In,9
General_2023,City Council,CATHLAMET,Pos. 1,1,< 25%,113,Robert Stowe,124,Write-In,11
General_2023,City Council,CATHLAMET,Pos. 2,1,< 25%,138,Kermit Chamberlin,142,Write-In,4
General_2023,City Council,CATHLAMET,Pos. 3,1,< 25%,6,Joe Baker,91,Michael Severson,85
General_2023,City Council,CENTRALIA,Pos. 1,11,< 25%,532,Chris Brewer,1669,Russell Barr,1137
General_2023,City Council,CENTRALIA,Pos. 2,11,< 25%,889,Kelly Smith Johnston,1924,Joyce Barnes,1035
General_2023,City Council,CENTRALIA,Pos. 3,11,< 25%,167,Adrianna Garibay,1529,Kylie Sexsmith,1362
General_2023,City Council,CHEHALIS,Pos. 1,11,< 25%,174,Jerry Lord,184,Write-In,10
General_2023,City Council,CHEHALIS,Pos. 2,11,< 25%,592,Kevin Carns,803,Daryl J. Lund,211
General_2023,City Council,CHEHALIS,Pos. 3,11,< 25%,95,Anthony E. Ketchum,107,Write-In,12
General_2023,City Council,CHEHALIS,Pos. 4,11,< 25%,193,Jody Kyes,272,Karen Laufenberg,79
General_2023,City Council,CHELAN,Pos. 1,6,< 25%,996,Terry Sanders,1009,Write-In,13
General_2023,City Council,CHELAN,Pos. 3,6,< 25%,970,Brad Chitty,984,Write-In,14
General_2023,City Council,CHELAN,Pos. 4,6,< 25%,934,Jon M Higgins,961,Write-In,27
General_2023,City Council,CHELAN,Pos. 5,6,< 25%,961,Mark Ericks,977,Write-In,16
General_2023,City Council,CHENEY,Pos. 2,27,< 25%,218,Vincent Barthels,1070,Rebecca Long,852
General_2023,City Council,CHENEY,Pos. 5,27,< 25%,1295,Jason Nazzaro,1355,Write-In,60
General_2023,City Council,CHENEY,Pos. 6,27,< 25%,517,Jacquelyn Belock,1202,Pete Montague,685
General_2023,City Council,CHENEY,Pos. 7,27,< 25%,1366,Danielle LaBar,1412,Write-In,46
General_2023,City Council,CHEWELAH,At-Large,0,< 25%,414,Candice Capoeman,441,Write-In,27
General_2023,City Council,CHEWELAH,Pos. 3,0,< 25%,459,Ronald McCoy,481,Write-In,22
General_2023,City Council,CHEWELAH,Pos. 4,0,< 25%,483,John Kabosky,496,Write-In,13
General_2023,City Council,CHEWELAH,Pos. 5,0,< 25%,459,Bruce E. Nupp II,474,Write-In,15
General_2023,City Council,CHEWELAH,Pos. 6,0,< 25%,382,Ben Carpenter,521,Shane Cody Fairweather,139
General_2023,City Council,CLARKSTON,Pos. 5,0,< 25%,826,Skate Pierce,858,Write-In,32
General_2023,City Council,CLARKSTON,Pos. 6,0,< 25%,777,David Vinton,811,Write-In,34
General_2023,City Council,CLARKSTON,Pos. 7,0,< 25%,772,Steven D. Ebert,805,Write-In,33
General_2023,City Council,CLE ELUM,Pos. 2,6,< 25%,128,Leslie Ditsworth,131,Write-In,3
General_2023,City Council,CLE ELUM,Pos. 3,6,< 25%,420,Beth Williams,430,Write-In,10
General_2023,City Council,CLE ELUM,Pos. 3,6,< 25%,138,Judi Sandretto,140,Write-In,2
General_2023,City Council,CLE ELUM,Pos. 4,6,< 25%,416,Jerred R. Weis,429,Write-In,13
General_2023,City Council,CLE ELUM,Pos. 6,6,< 25%,413,Steven E. Cook,420,Write-In,7
General_2023,City Council,CLE ELUM,Pos. 7,6,< 25%,72,Audrey Malek,317,Sarah Lackey,245
General_2023,City Council,CLE ELUM,Pos. 2,6,25-50%,14,Ken Ratliff,300,Kiera Hyatt,286
General_2023,City Council,CLE ELUM,Pos. 4,6,25-50%,13,Gary Kasowski,85,Patricia Garris,72
General_2023,City Council,CLYDE HILL,Pos. 2,43,< 25%,203,Steve Sinwell,595,Ashley Eckel,392
General_2023,City Council,CLYDE HILL,Pos. 4,43,25-50%,125,Ryan D. Olson,536,Mark Kroese,411
General_2023,City Council,COLFAX,Pos. 4,1,< 25%,610,Mark Mackleit,618,Write-In,8
General_2023,City Council,COLFAX,Pos. 5,1,< 25%,550,Crystn Guenthner,558,Write-In,8
General_2023,City Council,COLFAX,Pos. 6,1,< 25%,294,Sarah Sevedge,501,Dustin Guenthner,207
General_2023,City Council,COLFAX,Pos. 7,1,< 25%,536,Thomas Huntwork,542,Write-In,6
General_2023,City Council,COLLEGE,Pos. 1,0,< 25%,1141,Paul Jessup,1177,Write-In,36
General_2023,City Council,COLLEGE,Pos. 4,0,< 25%,1159,Loren Peterson,1190,Write-In,31
General_2023,City Council,COLLEGE,Pos. 5,0,< 25%,1150,Melodie (Selby) Williams,1178,Write-In,28
General_2023,City Council,COLLEGE,Pos. 6,0,< 25%,1295,Heather M Schermann,1308,Write-In,13
General_2023,City Council,COLLEGE,Pos. 7,0,< 25%,1261,Monica Boyle,1280,Write-In,19
General_2023,City Council,COLTON,Pos. 1,0,< 25%,129,Scott Miller,129,Write-In,0
General_2023,City Council,COLTON,Pos. 3,0,< 25%,130,Sam Keller,131,Write-In,1
General_2023,City Council,COLTON,Pos. 4,0,< 25%,126,Dorothy Sharp,128,Write-In,2
General_2023,City Council,COLVILLE,At-Large,2,< 25%,675,Dick Nichols,971,Clint Hogan,296
General_2023,City Council,COLVILLE,Pos. 1,2,< 25%,989,Vickie Strong,1003,Write-In,14
General_2023,City Council,COLVILLE,Pos. 2,2,< 25%,388,Robin Kurowski,771,Christal Olivia Irwin,383
General_2023,City Council,COLVILLE,Pos. 5,2,< 25%,806,Benjamin Cosby,840,Write-In,34
General_2023,City Council,COLVILLE,Pos. 6,2,< 25%,907,Benjamin R Nielsen,924,Write-In,17
General_2023,City Council,CONCONULLY,Pos. 4,0,< 25%,57,Curtis Sweet,58,Write-In,1
General_2023,City Council,CONCONULLY,Pos. 5,0,< 25%,65,Kyle Haugan,65,Write-In,0
General_2023,City Council,CONCRETE,Pos. 1,0,< 25%,74,Rob Thomas,75,Write-In,1
General_2023,City Council,CONCRETE,Pos. 2,0,< 25%,72,Casey Jo Manke,72,Write-In,0
General_2023,City Council,CONCRETE,Pos. 4,0,< 25%,75,Stephanie Semro,75,Write-In,0
General_2023,City Council,CONNELL,Pos. 5,1,< 25%,50,Preston Hart,232,Patrice Hebel,182
General_2023,City Council,CONNELL,Pos. 6,1,< 25%,107,Shelly Harper,261,David (Duey) Dixon,154
General_2023,City Council,COSMOPOLIS,Pos. 1,2,< 25%,160,Kim Skinner,372,Ashley Arcangel,212
General_2023,City Council,COSMOPOLIS,Pos. 2,2,< 25%,446,Jeremy Winn,460,Write-In,14
General_2023,City Council,COSMOPOLIS,Pos. 3,2,< 25%,59,Justin Spargo,319,Kasi Turner,260
General_2023,City Council,COSMOPOLIS,Pos. 4,2,> 50%,2,Mark Collett,287,Sue Darcy,285
General_2023,City Council,COULEE,Pos. 1,0,< 25%,25,Erin Correia,115,Branden Jorgensen,90
General_2023,City Council,COULEE,Pos. 2,0,< 25%,20,Travis Liening,111,Karen Powers,91
General_2023,City Council,COULEE,Pos. 3,0,< 25%,73,Steve Bond,139,Jennifer Schwartz,66
General_2023,City Council,COULEE,Pos. 4,0,< 25%,37,Richard Heiberg,119,April Harward,82
General_2023,City Council,COULEE DAM,Pos. 1,2,< 25%,125,Kevin Black,130,Write-In,5
General_2023,City Council,COULEE DAM,Pos. 3,2,< 25%,111,Dale Rey,121,Write-In,10
General_2023,City Council,COULEE DAM,Pos. 4,2,< 25%,126,Larry L Hall,134,Write-In,8
General_2023,City Council,COULEE DAM,Pos. 5,2,< 25%,117,Keith St. Jeor,124,Write-In,7
General_2023,City Council,COUPEVILLE,Pos. 1,4,< 25%,548,Jacquelyn J Henderson,568,Write-In,20
General_2023,City Council,COUPEVILLE,Pos. 2,4,< 25%,526,Rick Walti,549,Write-In,23
General_2023,City Council,COUPEVILLE,Pos. 3,4,< 25%,527,Jenny Bright,547,Write-In,20
General_2023,City Council,COVINGTON,Pos. 1,249,< 25%,2494,Kristina Soltys,2542,Write-In,48
General_2023,City Council,COVINGTON,Pos. 3,249,< 25%,2514,Debby Hartsock,2553,Write-In,39
General_2023,City Council,COVINGTON,Pos. 5,249,< 25%,2516,Sean D. Smith,2554,Write-In,38
General_2023,City Council,COVINGTON,Pos. 7,249,< 25%,2510,Jeff Wagner,2559,Write-In,49
General_2023,City Council,CRESTON,Pos. 1,0,< 25%,47,Robert Butzer,48,Write-In,1
General_2023,City Council,CRESTON,Pos. 3,0,< 25%,42,Lisa Yoder,43,Write-In,1
General_2023,City Council,CRESTON,Pos. 4,0,< 25%,40,Ellen McIntyre,42,Write-In,2
General_2023,City Council,CRESTON,Pos. 5,0,< 25%,40,Jackie R Browder,42,Write-In,2
General_2023,City Council,CUSICK,Pos. 3,0,< 25%,14,Jessamyn Fitzhugh,23,Write-In,9
General_2023,City Council,CUSICK,Pos. 4,0,< 25%,27,Roger R. Brown,34,Luke Servas,7
General_2023,City Council,CUSICK,Pos. 5,0,< 25%,10,Tina Alford,22,Write-In,12
General_2023,City Council,DARRINGTON,Pos. 3,0,< 25%,253,Billie Lee Burtenshaw,264,Write-In,11
General_2023,City Council,DARRINGTON,Pos. 4,0,< 25%,234,Reed Rankin,248,Write-In,14
General_2023,City Council,DARRINGTON,Pos. 5,0,< 25%,243,Gary Willis,254,Write-In,11
General_2023,City Council,DAVENPORT,At-Large,1,< 25%,332,Patrick R Katz,336,Write-In,4
General_2023,City Council,DAVENPORT,Pos. 1,1,< 25%,315,Jonathan Chapman,319,Write-In,4
General_2023,City Council,DAVENPORT,Pos. 2,1,< 25%,305,Mike Wilkinson,309,Write-In,4
General_2023,City Council,DAVENPORT,Pos. 4,1,< 25%,306,Robert Jenkins,312,Write-In,6
General_2023,City Council,DAVENPORT,Pos. 5,1,< 25%,329,Heath D Becker,331,Write-In,2
General_2023,City Council,DAYTON,Pos. 2,1,< 25%,593,James Su'euga,608,Write-In,15
General_2023,City Council,DAYTON,Pos. 4,1,< 25%,100,Joann E. Patras,460,Devin Greenup,360
General_2023,City Council,DAYTON,Pos. 5,1,< 25%,643,Shannon L. McMillen,656,Write-In,13
General_2023,City Council,DAYTON,Pos. 6,1,< 25%,614,Kyle Anderson,630,Write-In,16
General_2023,City Council,DEER PARK,Pos. 2,9,< 25%,526,Fred Senn,888,Helen (Dee) Cragun,362
General_2023,City Council,DEER PARK,Pos. 4,9,< 25%,1092,Billy Costello,1120,Write-In,28
General_2023,City Council,DEER PARK,Pos. 5,9,< 25%,73,Diane Pfaeffle,658,Scott Campbell,585
General_2023,City Council,DES MOINES,Pos. 6,528,< 25%,4314,Yoshiko Grace Matsui,4437,Write-In,123
General_2023,City Council,DES MOINES,Pos. 2,528,> 50%,849,JC Harris,3285,Rob Back,2436
General_2023,City Council,DES MOINES,Pos. 4,528,25-50%,1919,Jeremy Nutting,3810,Christine Puzas,1891
General_2023,City Council,DUPONT,Pos. 4,16,< 25%,752,Tom Wargo,1193,Melinda Schou,441
General_2023,City Council,DUPONT,Pos. 6,16,< 25%,1307,Kevin Ballard,1355,Write-In,48
General_2023,City Council,DUPONT,Pos. 5,16,> 50%,29,Shawna Gasak,835,Robin Barrow,806
General_2023,City Council,DUVALL,Pos. 2,65,< 25%,1453,Rick Shaffer,1470,Write-In,17
General_2023,City Council,DUVALL,Pos. 4,65,< 25%,1462,Ronn Mercer,1478,Write-In,16
General_2023,City Council,DUVALL,Pos. 5,65,< 25%,1493,Mike Supple,1509,Write-In,16
General_2023,City Council,DUVALL,Pos. 7,65,< 25%,1246,Carol Kufeldt,1619,C. William Chappell IV,373
General_2023,City Council,EATONVILLE,Pos. 3,6,< 25%,115,Mike Schaub,451,Joe Hagen,336
General_2023,City Council,EATONVILLE,Pos. 4,6,< 25%,148,Bill Dunn,465,Kirby Nelson,317
General_2023,City Council,EATONVILLE,Pos. 5,6,< 25%,615,Emily (Blackett) McFadden,639,Write-In,24
General_2023,City Council,EDGEWOOD,Pos. 1,42,< 25%,1902,Jennifer Pazaruski,2677,Nichole R. Purfeerst,775
General_2023,City Council,EDGEWOOD,Pos. 2,42,< 25%,663,Jason Ramirez,2080,Laura Chudecke,1417
General_2023,City Council,EDGEWOOD,Pos. 7,42,< 25%,2735,Jeff Southard,2769,Write-In,34
General_2023,City Council,EDMONDS,Pos. 1,352,< 25%,2035,Chris Eck,8496,Roger Pence,6461
General_2023,City Council,EDMONDS,Pos. 4,352,< 25%,4325,Michelle Dotsch,9703,Mackey Guenther,5378
General_2023,City Council,EDMONDS,Pos. 5,352,< 25%,10815,Vivian A. Olson,11350,Write-In,535
General_2023,City Council,EDMONDS,Pos. 6,352,< 25%,2894,Susan Paine,9041,Kevin Fagerstrom,6147
General_2023,City Council,EDMONDS,Pos. 7,352,< 25%,10988,Jenna Nand,11326,Write-In,338
General_2023,City Council,ELECTRIC,Pos. 3,0,< 25%,52,Brian Buche,191,Thomas Levi Johnson,139
General_2023,City Council,ELECTRIC,Pos. 4,0,< 25%,121,Matt Gilbert,225,Birdie Hensley,104
General_2023,City Council,ELECTRIC,Pos. 5,0,< 25%,37,Blake Martin,179,Cheryl Hoffman,142
General_2023,City Council,ELLENSBURG,Pos. 4,26,< 25%,1158,Joshua Thompson,1770,Write-In,612
General_2023,City Council,ELLENSBURG,Pos. 5,26,< 25%,1690,David M. Miller,1766,Write-In,76
General_2023,City Council,ELLENSBURG,Pos. 6,26,< 25%,2069,Rich Elliott,2114,Write-In,45
General_2023,City Council,ELLENSBURG,Pos. 7,26,< 25%,1955,Sarah Beauchamp,2026,Write-In,71
General_2023,City Council,ELMA,Pos. 2,2,< 25%,491,Bethany Whipple-Boling,497,Write-In,6
General_2023,City Council,ELMA,Pos. 4,2,< 25%,106,Mike Cooper,346,Shane Jhanson,240
General_2023,City Council,ELMA,Pos. 5,2,< 25%,9,Jacob Borden,308,Ron Woodman,299
General_2023,City Council,ELMER,Pos. 4,0,< 25%,49,Flora Long,49,Write-In,0
General_2023,City Council,ELMER,Pos. 5,0,< 25%,47,Terje Berg,48,Write-In,1
General_2023,City Council,ENDICOTT,Pos. 1,0,< 25%,56,Debbie Wolfe,83,Don Adsitt,27
General_2023,City Council,ENDICOTT,Pos. 3,0,< 25%,3,Nick Nicora,51,Megan Webster,48
General_2023,City Council,ENDICOTT,Pos. 5,0,< 25%,26,Destiny Corean,60,Thomas Webster,34
General_2023,City Council,ENTIAT,Pos. 4,0,< 25%,258,Robert Hargadon,266,Write-In,8
General_2023,City Council,ENTIAT,Pos. 5,0,< 25%,255,Clay Brandenburg,265,Write-In,10
General_2023,City Council,ENUMCLAW,Pos. 2,5,< 25%,110,Kerry Flothe,1603,Michael W. Merker,1493
General_2023,City Council,ENUMCLAW,Pos. 4,5,< 25%,2325,Chance LaFleur,2380,Write-In,55
General_2023,City Council,ENUMCLAW,Pos. 6,5,< 25%,2321,Anthony Wright,2367,Write-In,46
General_2023,City Council,EPHRATA,Pos. 4,3,< 25%,1047,Valli Millard,1058,Write-In,11
General_2023,City Council,EPHRATA,Pos. 5,3,< 25%,330,Beau Lamens,801,Michael Durfee,471
General_2023,City Council,EPHRATA,Pos. 6,3,< 25%,1020,Ashley Grout,1032,Write-In,12
General_2023,City Council,EPHRATA,Pos. 7,3,< 25%,381,Mike Warren,836,JoBeth Carlson,455
General_2023,City Council,EVERETT,Pos. 6,1359,> 50%,2345,Scott Bader,10430,Demi Chatters,8085
General_2023,City Council,EVERETT,Pos. 7,1359,25-50%,3874,Judy Tuohy,10896,Judith Martinez,7022
General_2023,City Council,EVERSON,Pos. 1,7,< 25%,436,Tim Hanowell,450,Write-In,14
General_2023,City Council,EVERSON,Pos. 4,7,< 25%,422,John Hammond,431,Write-In,9
General_2023,City Council,EVERSON,Pos. 5,7,< 25%,145,Ashley Brown,398,Gary Locke,253
